,Unnamed: 0,target_col,fold,task_name,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
19,19,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.01,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6417,0.6031,0.6751
0,0,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.4674,0.5183,0.4609
1,1,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5971,0.5689,0.6061
2,2,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.6718,0.591,0.6535
3,3,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.6968,0.6053,0.7166
4,4,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.7034,0.6099,0.701
5,5,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-100.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5557,0.5307,0.5288
6,6,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-10.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5472,0.5624,0.6071
7,7,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-1.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5831,0.5594,0.5939
8,8,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.1,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.6581,0.6283,0.6673
